มหาวิทยาลัย,ค่าใช้จ่าย,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ
จุฬาลงกรณ์มหาวิทยาลัย,25500,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
จุฬาลงกรณ์มหาวิทยาลัย,25500,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology
มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,"17,300",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering)
มหาวิทยาลัยเกษตรศาสตร์,"17,300",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering)
มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,"26,100",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,B.Eng. (Computer Engineering and Informatics)
มหาวิทยาลัยเกษตรศาสตร์,"15,000",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering)
มหาวิทยาลัยขอนแก่น,20000,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering)
มหาวิทยาลัยเชียงใหม่,"23,000",วศ.บ.วิศวกรรมคอมพิวเตอร์,
มหาวิทยาลัยเชียงใหม่,"23,000",วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,
มหาวิทยาลัยธรรมศาสตร์,18900,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยธรรมศาสตร์,101200,วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT),Bachelor of Engineering (B.Eng.)
มหาวิทยาลัยมหิดล,30000,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยศรีนครินทรวิโรฒ,200000,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยสงขลานครินทร์,"20,000",วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยสงขลานครินทร์,"28,000",วศ.บ. วิศวกรรมปัญญาประดิษฐ์,Bachelor of Engineering Program in Artificial Intelligence Engineering
มหาวิทยาลัยสงขลานครินทร์,48000,วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ),Bachelor of Engineering Programe in Digital Engineering (International Program)
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,"70,000",วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี  (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Computer Engineering (International Program) 4-year undergraduate program ( international )
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,"30,000",วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,Bachelor of Engineering Program in Computer Engineering 4-year undergraduate program
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,"14,500",ครุศาสตร์อุตสาหกรรมบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า ปริญญาตรี 5 ปี,Bachelor of Science in Industrial Education Program in Electrical Engineering 5-year undergraduate program
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,"25,000",วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"25,000",วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"90,000",วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),B.Eng. Computer Engineering (International Program)
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"50,000",วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,B.Eng. Computer Engineering and Cyber Security
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,20000,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering
มหาวิทยาลัยเทคโนโลยีสุรนารี,"45,400","กลุ่มวิศวกรรมศาสตร์ (ประกอบด้วยสาขาวิชาวิศวกรรมการผลิตอัตโนมัติและหุ่นยนต์, วิศวกรรมเกษตรและอาหาร, วิศวกรรมคอมพิวเตอร์, วิศวกรรมเคมี, วิศวกรรมเครื่องกล, วิศวกรรมปิโตรเลียมและเทคโนโลยีธรณี, วิศวกรรมไฟฟ้า, วิศวกรรมโทรคมนาคม, วิศวกรรมยานยนต์,วิศวกรรมโยธา, วิศวกรรมขนส่งและโลจิสติส์, วิศวกรรมเซรามิก, วิศวกรรมพอลิเมอร์, วิศวกรรมโลหการ, วิศวกรรมสิ่งแวดล้อม, วิศวกรรมธรณี, วิศวกรรมอากาศยาน, วิศวกรรมอิเล็กทรอนิกส์, วิศวกรรมอุตสาหการ เรียนรวมกันปี 1 แยกสาขาปี 2)",Engineering
มหาวิทยาลัยเทคโนโลยีสุรนารี,"197,100",วิศวกรรมคอมพิวเตอร์,Computer Engineering
มหาวิทยาลัยนเรศวร,"16,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยวลัยลักษณ์,"32,700",วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence
มหาวิทยาลัยแม่ฟ้าหลวง,224000,วศ.บ. วิศวกรรมคอมพิวเตอร์ (จัดการเรียนการสอนเป็นภาษาอังกฤษ),Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยนราธิวาสราชนครินทร์,"14,000",วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยนครพนม,"9,025",วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยพะเยา,"21,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยกาฬสินธุ์,"10,150",วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng.(Computer Engineering)
มหาวิทยาลัยรามคำแหง,"26,875",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering  (B. Eng. (Computer Engineering))
มหาวิทยาลัยรามคำแหง,"50,408",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering (International Program) (B. Eng. (Computer Engineering))
สถาบันเทคโนโลยีจิตรลดา,"31,500",วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยราชภัฏพิบูลสงคราม,"12,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยราชภัฏสวนสุนันทา,"18,500",วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering
มหาวิทยาลัยราชภัฏอุบลราชธานี,"9,076",วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,Computer and Network Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,"14,000",วิศวกรรมคอมพิวเตอร์,Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,"20,000",วิศวกรรมคอมพิวเตอร์,Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,"16,120",วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),B.Eng. (Computer Engineering and IoT System)
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,"15,000",วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,"15,000",วศ.บ.  วิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofEngineering(B.Eng.)
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,"15,000",อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofIndustrialTechnology(B.Ind.Tech.)
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,"13,750",วศ.บ. วิศวกรรมคอมพิวเตอร์,Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,"13,750",วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,"13,750",วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,Information and Communication Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,"12,000",วศ.บ.วิศวกรรมคอมพิวเตอร์,Programin Computer Engineering
มหาวิทยาลัยศรีปทุม,"374,600",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Sc. Computer Engineering
มหาวิทยาลัยหอการค้าไทย,"42,500",หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),B.Eng. (Computer Engineering and Artificial Intelligence)
มหาวิทยาลัยเทคโนโลยีมหานคร,"348,575",วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Computer Engineering
มหาวิทยาลัยรังสิต,"49,600",วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering
มหาวิทยาลัยธุรกิจบัณฑิตย์,"42,125",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยเกษมบัณฑิต,"35,250",วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering)
มหาวิทยาลัยสยาม,"37,938",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering)
สถาบันการจัดการปัญญาภิวัฒน์,"48,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"60,000",บธ.บ. บริหารธุรกิจบัณฑิต (หลักสูตรนานาชาติ) แขนง DIGITAL SUPPLY CHAIN MANAGEMENT,B.B.A. Business Administration (International Program)
มหาวิทยาลัยสงขลานครินทร์,"28,000",วศ.บ. วิศวกรรมปัญญาประดิษฐ์,Bachelor of Engineering Program in Artificial Intelligence Engineering
มหาวิทยาลัยสงขลานครินทร์,"38,000",วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Bachelor of Engineering Programe in Artificial Intelligence and System Engineering
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,"25,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมระบบอัจฉริยะ ปริญญาตรี 4 ปี (พื้นที่การศึกษาราชบุรี),Bachelor of Engineering Program in Intelligence Systems Engineering 4-year undergraduate program (Rajaburi educational region)
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"21,875",วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),B.Eng. Ai Engineering and Entrepreneurship (International Program) Joint Degree between KMITL and Bangkok University
มหาวิทยาลัยอุบลราชธานี,"28,000",วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,Bachelor of Engineering Program in Artificial Intelligence and Prompt Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,"13,750",วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering
สถาบันการจัดการปัญญาภิวัฒน์,"48,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence
